image;caption
243162937.jpg; Supporters reach towards the stage .
4427059629.jpg; A cowboy riding a bucking horse in front of a crowd at a rodeo .
3052435954.jpg; An asian man in a tuxedo is hugging a woman in a white dress while holding flowers , on wooden planks .
6206358780.jpg; three boys and a girl sit inside of a dinosaur egg .
4405699723.jpg; A man operating a sewing machine .
3548191125.jpg; A young boy in a red uniform jumps on a trampoline .
524360969.jpg; a workers standing in the road holding a stop sign in front of another worker
3132903412.jpg; A couple dressed in coats , hats , and scarves are standing in the snow .
5776639717.jpg; An African-American man plays the harmonica and electric guitar simultaneously into a microphone outside in front of a parking lot .
4820830153.jpg; A man in blue jeans sitting in front of a store .
384806138.jpg; An African woman in long , flowing garb , with a baby on her back , is working in a dry field with trees far off in the distance .
2137836768.jpg; A man holds a stuff sloth .
4409805003.jpg; The young man wearing a blue striped shirt is studying on his laptop computer and taking notes , next to him a cat is sleeping .
2852672275.jpg; Asian male in blue striped shirt , tan pants , black rubber boots , inspecting a large tuna .
2908391335.jpg; A bride and groom are dancing with each other with their backs turned to one another .
8018744438.jpg; A woman dressed uniquely in yellow , red and blue , holding a pan and standing in front of various food .
5468029953.jpg; A woman who is dressed up in a costume giving something to a little boy .
2313785743.jpg; Construction site for office building .
3247477917.jpg; A woman in an apron is carrying a tray of ice cream with cones on top .
1029450589.jpg; A man sleeping in a green room on a couch .
2435804989.jpg; A mustachioed man sits as two boys stand on either side of him at the entrance to an alley .
3416013671.jpg; A man with a beard in the foreground playing bagpipes
2578395598.jpg; A little white dog runs outside , their ears blown back in the wind .
3199645963.jpg; A man and a woman smile as they sit in yellow lawn chairs .
512616265.jpg; Several people wait to checkout inside a store with a warehouse looking ceiling .
4822495419.jpg; A man standing in front of a shop that is closed wearing a bag and eating a yellow Popsicle talking on his cellphone .
4964921391.jpg; An Asian kid standing , waiting with his bags .
3145967019.jpg; Three women are posing for a picture
6151897522.jpg; A woman in a white coat and gold bracelet looks at a sheaf of papers .
3827176890.jpg; Two young kids shaking hands in the middle of spectators .
6899247616.jpg; A woman , fit and toned , runs in a race as a crowd of runners follow .
2984704498.jpg; A smartly dressed woman wearing a white jacket is holding a camera .
133312329.jpg; A young woman smiling in the distance is enjoying a bubble bath .
2422482455.jpg; A woman holding a stick out for a dog .
3989113044.jpg; A young man in a hat is playing the guitar on an outdoor stage .
3057749743.jpg; A crowd of people are gathered outside watching a performer .
194498965.jpg; Three people sit around a table with a laptop and food on it .
4818672276.jpg; A man wearing a balloon hat is crossing a street .
3365561441.jpg; A lady with a dinosaur puppet talks to a child .
158982617.jpg; A man , which is in his kitchen , beats a batter inside a bowl beside empty pans and a spatula .
2289212650.jpg; Two dogs in the water fight over a stick .
3277834387.jpg; A man wearing a scarf and holding a bag standing front of a cafe .
6042855086.jpg; A person is flying through the air attached to a board with a parachute .
5027112162.jpg; A man with a whistle in his mouth is holding a large tray of food .
7151070637.jpg; A crowd of people run a marathon in a cityscape with two skyscrapers in the background .
2766148353.jpg; A smiling person with a brightly colored Mohawk hairstyle .
6826996355.jpg; Four runners are competing in a race , on an indoor course , decorated with many colorful , international flags .
150725531.jpg; A young girl is exploring the woods .
4671642676.jpg; A police officer is talking to several men on a busy city street .
3657387086.jpg; A woman is dressed in decorated garb and playing a drum outside .
3541204170.jpg; A man is running in a marathon while some spectators watch .
2771984027.jpg; A group of soldiers are marching in ranks while holding flags .
418619800.jpg; Little boy in jeans and a t-shirt jumping off of a mound of dirt .
3203742047.jpg; A person sleds on the snow at night .
2445783904.jpg; A dog with a red collar is walked on a field .
3475552729.jpg; A child dressed in a blue shirt and cap is carrying a soccer ball .
4508496980.jpg; A man in a suit standing on a sidewalk reading a newspaper .
7396934178.jpg; Two motorcycle are racing on the track .
3438142614.jpg; A person in orange is riding on the back of a motor scooter .
358771859.jpg; Tourist have been visiting these poor kids and making sure they are being well fed and supported .
2565237642.jpg; A red furred dog runs on an obstacle course .
3838585113.jpg; A girl and a boy are playing together .
7841142842.jpg; A man in a red and white bodysuit and funnel shaped helmet is riding a racing bicycle past four onlookers behind a metal barricade .
6178836593.jpg; A man riding his bike looking ahead at finish line .
272156850.jpg; A man in short shorts is posing on a large rock .
4588444998.jpg; A smiling woman in a kitchen cleans a baking sheet .
86120657.jpg; A man wearing red fishing overalls is standing in front of a fish stall in a market .
318895620.jpg; One man dressed in a martial arts uniform kicks another man dressed the same way in the groin while an umpire and audience looks on .
4657278883.jpg; Lone man sitting on steps leading to two red doors .
30061114.jpg; A man wearing green t-shirt sits in a chair .
24830572.jpg; Four men in cowboy hats sitting at a table .
804087017.jpg; Two men sitting on a bench on a street next to two women doing the same .
108899015.jpg; Two people climbing up a snowy mountain .
3399618896.jpg; Two young men stand holding a sign against a wall .
3259757648.jpg; A light colored dog leaps over a hurdle .
5766437977.jpg; A young women hands someone a doll , in what looks like a disaster area .
778885185.jpg; Large brown dog playing with a white soccer ball in the grass .
2340568853.jpg; A group of young girls in school uniforms walking down a street with two older men gawking at them .
3446586125.jpg; A dog running with a tennis ball in his mouth
3158327361.jpg; A man and a woman hopping acrouss hot sand .
279550225.jpg; Man with a pierced tongue next to a woman .
207930963.jpg; A man looking down wearing racing clothes with a motorcycle to the right .
4729191874.jpg; Two young adults crossing the street using a crosswalk .
3894241635.jpg; Two men and two boys look over the deck of a boat .
837919879.jpg; Two guys playing horseshoe .
4761374939.jpg; A group of people sitting quietly on the subway , deep in thought .
4898264862.jpg; A woman stands in a pool with three young boys .
8234387593.jpg; Two young men playing basketball , one defending the other attempting to make a basket .
1418632004.jpg; A nun is being searched at an airport by a female Department of Homeland worker .
4900336480.jpg; A man in a white shirt hiking over rocks and water .
3636476363.jpg; A man wearing glasses , a white shirt and tie , and slacks stands by a bed that has white pillows on it .
5059973086.jpg; A woman in a red scarf is knitting in the street as people walk by .
8076223643.jpg; Man wearing sandals leaning against a tree , with other people in the background .
4960755808.jpg; A cowboy being thrown off a bucking horse at a rodeo .
827941668.jpg; A person is standing in water with it splashing all around them while another person lingers in the background .
2602827193.jpg; A man is playing a keyboard with another man playing drums .
1957371533.jpg; A black and white dog shakes water off itself .
4299331724.jpg; An older woman in a black coat and a white knit beret converses with an older man in a tan scooter hat and a green coat on the sidewalk near storefronts .
7472814756.jpg; Sailing teams come to the rescue of a boat in need .
536721406.jpg; A small black dog chases a large animal in a fenced area .
2191453879.jpg; A young boy running on a field
2631552679.jpg; A woman wearing a black shawl walking out of a building .
3687222696.jpg; The blond boy is wearing a red shirt and jumping off of a blue slide .
6338542128.jpg; On a sunny , dry day , wearing full football gear , a Texas A&M football player tries to reach an Iowa State football player , for the football during the game .
4643831103.jpg; A man is preparing food while another watches .
6785193001.jpg; Someone washing dishes with latex gloves on in a metal sink .
2503250992.jpg; Four men standing around a small grill preparing food .
3434452829.jpg; A little boy in red walks and eats a snack while a little boy in green walks behind .
4597303045.jpg; Man sitting along side the ocean holding a pipe .
1860543210.jpg; A man walking across a crosswalk with long hair , a green hoodie , and a backpack .
3373544964.jpg; A muscular dog with upturned face looking into eyes of a young boy .
6225276982.jpg; A male athlete is racing down a outdoor track wearing a mostly white shirt and black and green shorts .
4889441439.jpg; Grandmother holding on to her adorable granddaughter in a flower print brown footy .
191457211.jpg; The girls are having fun time with their dogs at bed .
111069375.jpg; Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps .
4582536661.jpg; A large advertisement for Coca Cola sits on the counter of a quick service restaurant where a worker can be seen preparing dough .
192618386.jpg; Young children and parents splashing around a public fountain .
4689253216.jpg; A woman in a white shirt is speaking to an audience made up mostly of children .
4778395132.jpg; A man with a blue coat and dark pants walking on an empty street .
1181708011.jpg; a woman using a power drill in front of a group of people .
4533796266.jpg; A man holding a sign of a rainbow elephant .
5973146939.jpg; Two men in white uniforms are playing cricket on a grassy field .
514448571.jpg; A man in a store , in the toy section , is juggling balls .
508550094.jpg; A guy in a black shirt coming through the door with two bags of ice .
1330981138.jpg; Man in a red shirt holding frying pan .
1309153515.jpg; Workers are serving up customers lined up in front of a Martins famous louisiana sausages vendor tent
5205100758.jpg; A plane lies in the background of a warehouse .
4298870292.jpg; The people outside peer into the window .
3258993719.jpg; A woman with dark hair working on some colorful fabric .
3700374214.jpg; Two dark-haired women work on a tapestry .
2223272586.jpg; A group of people prepare a meal in a small kitchen .
1733853950.jpg; Two men are standing in front of a concrete building using the atm .
767123209.jpg; A girl stands on stage prepared to sing .
3698993988.jpg; A man is walking inside of an air balloon .
5721495953.jpg; A woman wearing all gray is passing something to a blond man who is sitting down .
2337757064.jpg; A person with a yellow hat holding a fishing pole in the grass by water
2210065293.jpg; Tourists climb rocks above an ocean to view beautiful light blue seas .
3670205710.jpg; A large group at a concert or fair all looking at a man in a white shirt .
5142968059.jpg; A male musician dressed in black with a guitar pick in his mouth performs during a concert playing the guitar looking out at the crown with a back drop of a single stage light and Jumbo screens .
4910372080.jpg; A group of people looking at books in a library .
4630818826.jpg; A woman with brown curly hair , holding sunglasses , standing in a crowd .
237424188.jpg; A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk , while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her .
2456615908.jpg; A dog , holding a bird in its mouth , jumping a fence .
350577578.jpg; A woman is holding a baby in her arm while pointing .
4704577040.jpg; A thin man in a maroon shirt standing next to a pay phone .
7973583420.jpg; Two men playing soccer on a field .
2869439070.jpg; A young boy stands near a sand pyramid .
19965828.jpg; A man stands on a trashcan while holding onto a utility pole .
3400245808.jpg; Group of men post on the stairway of an old house .
3569416047.jpg; A female woman rides a bicycle along a long wall .
1785224814.jpg; Several people are ordering food at a window .
2391929964.jpg; Two men sit at a bar with Shiner Bock beer .
4146150983.jpg; Military man getting some food at the mess hall .
7682324722.jpg; A basketball player in a red and blue uniform is shooting a basketball on a basketball court while four men in red shirts look on .
349394363.jpg; Group standing in front of a creek with dog .
219843860.jpg; A man reaches high to help him during his rock climb .
3510695264.jpg; A group of people in hard hats stand and look at something while one takes a picture .
6913022231.jpg; Cyclist on a black and yellow bike trying to make himself as aerodynamic as possible .
157557961.jpg; A man touching a giant BlackBerry .
3647826834.jpg; A woman and three children .
1017675163.jpg; A woman wearing an orange leotard doing gymnastics in front of an audience .
3419197575.jpg; two little boys admire a shop window .
103631543.jpg; Woman having a fancy dinner .
141213544.jpg; Two women are standing in a store with a baby in a blue stroller .
2748889888.jpg; A toddler being helped out of a pool .
189570539.jpg; Two young girls are wearing bathing suits and standing under falling water .
46829862.jpg; A man in a blue shirt is painting a building .
8002838345.jpg; A man is crouched down on a skateboard and is being pulled along in the water .
991459749.jpg; An obese man and two average-sized men sit on a bench with their heads as far back as they will go .
6716993355.jpg; A window artist stops for a quick break as she decides on her next set of strokes .
4753175787.jpg; A smiling woman wearing sunglasses and holding a plastic cup .
3634754655.jpg; A lot of people are out on a beach .
4970826472.jpg; A young girl with racing tags and Toyota inflatables stands with a woman and another person outside of a shoe store .
224203430.jpg; Guy jumping in front of some interesting wall art .
3383491811.jpg; A large dog licking its nose .
3084731832.jpg; The dog is in the snow in front of some trees .
472152529.jpg; A young boy in a blue jacket standing on a corner in front of THEFACESHOP .
292673534.jpg; Man wearing a orange safety uniform is working on a railroad track .
4869891236.jpg; On a strip mall sidewalk , three men in a band play their music .
2141713971.jpg; A woman and a young girl riding a sled down a snowy hill while standing .
520913429.jpg; this man is sweeping the sidewalk .
24761526.jpg; A young woman laughs while hanging out with friends .
3381161854.jpg; Two tri-colored short dogs run away from the camera in the trees .
3668734264.jpg; People at an outdoor bar .
5690228281.jpg; A man in a yellow outfit , fixing something on the corner of a house .
4483576244.jpg; Two African American women are touching the Naked Cowboys buttocks while posing for a picture .
4580085971.jpg; Four girls are in a ballet .
7308951892.jpg; A man on a mechanical lift wearing a hard hat is assembling a statue .
2911032463.jpg; Three guys and one woman sitting in chairs looking attentively to the right .
6610305057.jpg; A biker is in midair doing a stunt .
2748929011.jpg; A golfer shoots his ball out of a sand trap .
5191902508.jpg; A person is kayaking on a river and is steering himself in between two large rocks .
177769047.jpg; A man is laying down outside with his dog .
6957006310.jpg; Guy wearing sunglasses and blue shirt on skateboard in front of a bright yellow building with palm trees .
2537030709.jpg; A man dressed as a mariachi player holds a small guitar and sings .
6928751436.jpg; Man looking over a large stove full of coal while bursting flames .
3204854864.jpg; A warmly dressed man stands with a carving station on the street in front of his rotisserie machine .
260628700.jpg; A crowd watches a woman with a sledgehammer next to a man with a cinder block on his stomach .
2344699642.jpg; A dog is jumping to catch a Frisbee .
3616566999.jpg; Young girl in a brightly colored outfit peeks through a wooden fence .
4857709036.jpg; A woman in a blue and white polka dotted dress is crossing the street in a busy city .
4196910882.jpg; A legendary rock concert .
5550039813.jpg; Extreme sports skier is twisting and flipping in the air off of one side of a half-pipe .
148717151.jpg; A boy is playing with a wheel attached to a pole .
2745656473.jpg; A bald man wearing white is sitting on the ground playing a sitar .
396768260.jpg; People toss candy as they celebrate on top of a float .
4969006670.jpg; An old woman with a cart , looking at china , there are many objects on display on the street .
4828858763.jpg; A man riding in a golf cart like vehicle down a busy street with a brick building in the background .
2549946671.jpg; A young boy is an orange shirt is outside holding a phone next to his ear .
3444915662.jpg; A young woman in a green jacket is sitting in debris .
2186367337.jpg; A dog runs on wet sand as a man in yellow pants walks further back .
2105756457.jpg; Two kids in a developing nation are playing a table top game under an awning made from burlap .
7492267690.jpg; 4 fireman on a firetruck looking very tired , brick building behind them , and a hand to the bottom left .
2579266054.jpg; People hang upside down as a roller coaster executes a spiral loop-the-loop .
7028846053.jpg; A brunette is eating noodle soup with chopsticks out of an orange bowl
1921102799.jpg; A kid is crying because he got hurt while playing .
3016741474.jpg; A couple with an inflatable tiger .
4803245860.jpg; A woman is walking by a group of three men .
3475969992.jpg; A woman is bathed in red light on stage .
424617460.jpg; man pushing cart full of bananas
4533797010.jpg; A man in a blue shirt holding a protest sign .
2252299187.jpg; A band is on stage playing music , led by a man wearing a suit .
234374711.jpg; Six men sit together on the green grass .
5075624295.jpg; Two soccer players colliding as they try to kick the ball .
3712923460.jpg; A group of men in camouflage pants and white t-shirts are running in a drill yard .
6874319983.jpg; Goal tender in a hockey game about to catch the puck while second player looks on
4063231596.jpg; A young couple participates in a display of ethnic dancing .
2749124446.jpg; A dog with his eyes bulging out runs in front of another running dog .
5434071249.jpg; A boy wearing green shorts is jumping into a pool .
3780768589.jpg; Four men sit on a church 's steps .
4146886427.jpg; A happy family at thanksgiving .
239051548.jpg; A man wearing a black shirt , with his face propped up by his elbow , is sitting at a table .
2830755303.jpg; A young child runs along a beach as birds fly among him .
8042603870.jpg; The Climber trying to climb the big rock
5615654776.jpg; A group of women , dressed in festive blue dresses and feather head decors , parade down the street .
2275214054.jpg; A man in a green hard hat and yellow safety vest frowns .
3846314390.jpg; A young man placing his foot into incoming waters of the sea .
2602085456.jpg; A naked woman covered in mud in front of a crowd
260392825.jpg; The man in the red shirt and flowery tie is sitting on a bus by the window .
2672705063.jpg; A group of bicyclists ride up the street .
4641294847.jpg; A person , wearing no shirt , is sitting in a white chair staring over a ledge .
471402959.jpg; Woman in orange headscarf with her hand over her face sitting in a blue chair .
3659686168.jpg; Two young women sit by a fountain .
5949204053.jpg; A skateboarder in an ally doing tricks while jumping over panels .
399631066.jpg; A girl in a pink dress steps carefully over a puddle .
2281768510.jpg; A young shirtless man in red and black shorts stands on a snowy cliff and looks out over the lake .
458469106.jpg; A woman in a gray sweater looking at a file that is sitting on a counter .
2539157885.jpg; A man in black tux with blue tie holding a baby boy .
4689976046.jpg; Two dogs with pink hair are on a leash .
1131800850.jpg; The large brown and white dog shakes off water .
157955034.jpg; a child sitting on a lawn chair looking up at the camera
344536009.jpg; A young man is having his dreadlocks cutoff by a woman with scissors .
5691210724.jpg; Two women , in blue jackets and jeans , are playing saxophones .
5043444080.jpg; Boy is covered with a pile of golden leaves with only his face and upper chest showing .
4912684155.jpg; A group of females are sitting down on a bench .
5784245184.jpg; Two little boys rowing through the brown murky water .
4448469248.jpg; A redheaded female and brown-haired male wearing glasses stroll together .
14526359.jpg; A man playing the guitar at a club .
242324909.jpg; A small brown dog on a leash .
4871911622.jpg; A crowd standing in line for an amusement park ride .
3922731684.jpg; A person in a red hoodie sits on a park bench next to a backpack , looking downwards .
6357647385.jpg; An Asian man in an orange and white shirt is running on a track .
2196284168.jpg; A baby in a highchair .
309687244.jpg; A man in a gray shirt climbs a large rock wall .
3367200598.jpg; A baseball player in white is swinging at the ball .
4732642723.jpg; Lone person in a canoe , holding a rope , enjoying the scenery of the blue mountains and glassy water .
3658643976.jpg; A group of people are carrying flags .
2466935377.jpg; A man wearing white site beside a building .
3002448718.jpg; Girls walking in the street on a sunny day .
3084001782.jpg; A woman holding a red cup with a straw in it sits in front of a man and a woman looking at a book .
2474615549.jpg; Two men are looking at each other .
2568065443.jpg; A little girl is crying on a dinner room chair in front of a table with a plate of toast , a cup , and a juice box .
2614027432.jpg; Hawaiian man wearing a lauhala with no shirt surrounded by tress is playing a wooded instrument while woman watches him .
6989990004.jpg; A woman who has her feet kicked back on a couch wearing black sandals and a dress surfing the web on her laptop .
1132772170.jpg; A child leaping from bed to bed behind the back of a man .
2456532329.jpg; An elderly man is playing an accordion .
3514055630.jpg; Four young men in room surrounded by books .
3866290511.jpg; A group of people are holding a long cloth extending into the ocean .
4653503824.jpg; Two teenagers sit on a dock and check their cellphones .
3490736665.jpg; A dog jumps for several tennis balls thrown at him .
2735833682.jpg; Man walking down an ally of food stands .
3826372547.jpg; A woman stand on a small alley .
3431636707.jpg; A man in a blue pin striped shirt waiting for his food that he has ordered .
